timestamp,adjusted-sopr-a-sopr,coin-days-destroyed-cdd,market-value-to-realized-value-ratio-mvrv,mvrv-z-score,net-realized-profit-loss-usd,net-unrealized-profit-loss-nupl,number-of-utxos-in-loss,number-of-utxos-in-profit,percent-of-utxos-in-profit,percent-supply-in-profit,price-drawdown-from-ath,price-ohlc-usd-close,price-ohlc-usd-high,price-ohlc-usd-low,price-ohlc-usd-open,puell-multiple,realized-loss-usd,realized-profit-loss-ratio,realized-profit-usd,realized-profits-to-value-rpv-ratio,relative-unrealized-loss,relative-unrealized-profit,reserve-risk,supply-adjusted-cdd,total-supply-in-loss-btc,total-supply-in-profit-btc
2013-02-06,1.0275766612123,3932720.93167049,2.3416130642190534,2.68700203940949,517766.166653676,0.572943557605296,25415,3534593,0.992268955782661,0.974959862225731,-0.3444032859183573,20.5,20.57,20.5,20.5,1.2941374163031,21456.669085684,25.1307802523334,539222.83573936,0.0056176051729367,0.0021881338451421,0.575131691450438,0.0051678284981535,0.3658600303900728,220477.96137388,10480077.3988116
2013-02-07,1.02813629484851,5286782.32689698,2.417128021286488,2.84058416229683,503093.667716928,0.590809016047097,13942,3558604,0.996097461026394,0.992810714527047,-0.3193206761017474,20.964,20.964,20.9,20.91,1.39382935375715,32269.8562243422,16.5902048096957,535363.52394127,0.0055431282003668,0.0016721962280108,0.592481212275108,0.0052681519612594,0.4916519261326483,77307.03260491,10675782.8114069
2013-02-08,1.05912407545286,8369504.12882242,2.4665055800897737,2.97818323196584,1027891.18039614,0.594567734931395,28917,3552457,0.991925724596202,0.973952443013129,-0.2976564912130068,21.95,21.95,21.95,21.95,1.43006185537331,39422.2574403718,27.0738792533857,1067313.43783651,0.0109249918127221,0.0015743092260158,0.596142044157411,0.0055035762410137,0.7780609265072262,280190.05002447,10476674.7939874
2013-02-09,1.04661734117759,10690876.3973047,2.525919166692523,3.08498221958249,769509.787835477,0.604104138778743,32817,3558110,0.990583897467992,0.969456094652816,-0.2746872534325187,22.40097068,22.40097068,22.40097068,22.40097068,1.38625860237328,30072.071860477,26.5888517228115,799581.859695954,0.0081135211523237,0.0014328778236215,0.605537016602364,0.0056207159817727,0.993534322198858,310959.52756867,10431773.9874375
2013-02-10,1.02928238294049,2992648.48577038,2.5703956312399967,3.17058680147486,441464.301377473,0.612093557165473,10820,3591643,0.99699649933948,0.99347710843286,-0.2581818146737605,23.5,23.5,23.13356551,23.13356551,1.59247122091009,68299.3183116386,7.46367068208711,509763.619689112,0.0051447137830687,0.0010282888779136,0.613121846043387,0.0057290036254953,0.2780115598550213,70215.43694273,10694249.4050691
2013-02-11,1.04811786698,5358567.782439,2.583525115476815,3.19788639895975,605793.965241927,0.612931595916415,10486,3596757,0.996317779532139,0.989878135479334,-0.2494029012379471,23.75,23.75,23.6,23.72947789,1.58829908970592,27279.2930795395,23.2070991163732,633073.258321466,0.0063443818606713,0.0009605946767683,0.613892190593183,0.0057830906392069,0.4976173713430438,68893.8057824,10659443.1523371
2013-02-12,1.07170114157302,5196042.24352028,2.719209391039707,3.43595253548662,1010314.61632365,0.631898790344613,20104,3595077,0.994439005958485,0.985135791406696,-0.2015578230127637,23.99740496,23.99740496,23.87,23.94,1.45273302439969,18927.0755464391,54.3793302533593,1029241.69187009,0.0102024850198136,0.0006830216009438,0.632581811945557,0.006035617079823,0.4823689585213674,160115.98913124,10611798.8508806
2013-02-13,1.09646028562318,5932310.75438715,2.641229355412232,3.3298946657514,1376201.33417573,0.620025067293613,57380,3563095,0.983759157440892,0.948228321694526,-0.2133466496265704,25.38255871,25.442,25.25013175,25.442,1.83484945396275,59360.1124160202,24.1839408343896,1435561.44659175,0.0140236672236594,0.0016712166713022,0.621696283964915,0.0062038154703211,0.5505011742903018,542909.18392785,10218288.4024631
2013-02-14,1.08173184379284,6930573.11361009,2.8486559179279314,3.79162702175067,1193516.2815727,0.649187737930044,7711,3616388,0.997872298742391,0.995776111251207,-0.1409206137811092,22.5,25.0,22.5,25.0,1.6477546173088,90389.413788418,14.2041599956214,1283905.69536111,0.0123823992764896,0.0002525169796874,0.649440254909732,0.0062995549224509,0.6429117983678153,45533.37218321,10734431.4638286
2013-02-15,1.10874064051452,21090808.8277291,2.7620814121503465,3.64405160225021,1288069.41946161,0.64362938154879,10972,3617627,0.996976243448229,0.993894346429019,-0.1534619186894141,27.358,27.45,27.23,27.41802779,2.02568963331662,45711.4526416309,29.1782648554145,1333780.87210324,0.0126520003328456,0.0002505797624953,0.643879961311285,0.0065459254681895,1.9556684696696724,65846.05358051,10718593.7799313
